
===== clang++-22  group 10  (launches: {'base': 5, 'T': 5, 'F': 5, 'H': 5}) =====
vt                     algo                             base         T     T d%         F     F d%         H     H d%
5MyInt                 all_of(hit)                     0.172     0.171    -0.6%     0.171    -0.6%     0.172    +0.0%
5MyInt                 all_of(miss)                    0.049     0.049    +0.0%     0.052    +6.1%     0.049    +0.0%
5MyInt                 any_of(hit)                     0.050     0.049    -2.0%     0.052    +4.0%     0.050    +0.0%
5MyInt                 any_of(miss)                    0.172     0.171    -0.6%     0.171    -0.6%     0.172    +0.0%
5MyInt                 count(hit)                      0.054     0.040   -25.9%     0.040   -25.9%     0.054    +0.0%
5MyInt                 count(miss)                     0.054     0.040   -25.9%     0.040   -25.9%     0.054    +0.0%
5MyInt                 count_if(hit)                   0.035     0.035    +0.0%     0.035    +0.0%     0.035    +0.0%
5MyInt                 count_if(miss)                  0.037     0.037    +0.0%     0.037    +0.0%     0.037    +0.0%
5MyInt                 fill                            0.029     0.030    +3.4%     0.032   +10.3%     0.029    +0.0%
5MyInt                 fill_n                          0.031     0.031    +0.0%     0.031    +0.0%     0.031    +0.0%
5MyInt                 find(hit)                       0.050     0.142  +184.0%     0.114  +128.0%     0.049    -2.0%
5MyInt                 find(miss)                      0.098     0.291  +196.9%     0.217  +121.4%     0.098    +0.0%
5MyInt                 find_if(hit)                    0.049     0.049    +0.0%     0.049    +0.0%     0.049    +0.0%
5MyInt                 find_if(miss)                   0.172     0.171    -0.6%     0.171    -0.6%     0.172    +0.0%
5MyInt                 find_if_not(hit)                0.049     0.049    +0.0%     0.049    +0.0%     0.049    +0.0%
5MyInt                 find_if_not(miss)               0.172     0.172    +0.0%     0.171    -0.6%     0.172    +0.0%
5MyInt                 for_each                        0.054     0.054    +0.0%     0.054    +0.0%     0.054    +0.0%
5MyInt                 generate                        0.033     0.033    +0.0%     0.033    +0.0%     0.034    +3.0%
5MyInt                 generate_n                      0.047     0.047    +0.0%     0.047    +0.0%     0.047    +0.0%
5MyInt                 is_partitioned(hit)             0.172     0.172    +0.0%     0.171    -0.6%     0.172    +0.0%
5MyInt                 is_partitioned(miss)            0.086     0.086    +0.0%     0.086    +0.0%     0.086    +0.0%
5MyInt                 none_of(hit)                    0.172     0.172    +0.0%     0.171    -0.6%     0.172    +0.0%
5MyInt                 none_of(miss)                   0.049     0.049    +0.0%     0.049    +0.0%     0.049    +0.0%
5MyInt                 replace(hit)                    0.137     0.137    +0.0%     0.137    +0.0%     0.137    +0.0%
5MyInt                 replace(miss)                   0.153     0.154    +0.7%     0.153    +0.0%     0.153    +0.0%
5MyInt                 replace_if(hit)                 0.144     0.143    -0.7%     0.143    -0.7%     0.144    +0.0%
5MyInt                 replace_if(miss)                0.181     0.179    -1.1%     0.179    -1.1%     0.179    -1.1%
8MyFatIntILm4EE        all_of(hit)                     0.177     0.176    -0.6%     0.175    -1.1%     0.176    -0.6%
8MyFatIntILm4EE        all_of(miss)                    0.066     0.065    -1.5%     0.065    -1.5%     0.065    -1.5%
8MyFatIntILm4EE        any_of(hit)                     0.062     0.062    +0.0%     0.059    -4.8%     0.061    -1.6%
8MyFatIntILm4EE        any_of(miss)                    0.177     0.175    -1.1%     0.175    -1.1%     0.176    -0.6%
8MyFatIntILm4EE        count(hit)                      0.155     0.153    -1.3%     0.151    -2.6%     0.155    +0.0%
8MyFatIntILm4EE        count(miss)                     0.156     0.153    -1.9%     0.152    -2.6%     0.155    -0.6%
8MyFatIntILm4EE        count_if(hit)                   0.156     0.156    +0.0%     0.155    -0.6%     0.156    +0.0%
8MyFatIntILm4EE        count_if(miss)                  0.156     0.156    +0.0%     0.156    +0.0%     0.156    +0.0%
8MyFatIntILm4EE        fill                            0.503     0.520    +3.4%     0.502    -0.2%     0.502    -0.2%
8MyFatIntILm4EE        fill_n                          0.504     0.504    +0.0%     0.503    -0.2%     0.504    +0.0%
8MyFatIntILm4EE        find(hit)                       0.063     0.142  +125.4%     0.121   +92.1%     0.060    -4.8%
8MyFatIntILm4EE        find(miss)                      0.141     0.285  +102.1%     0.233   +65.2%     0.141    +0.0%
